Here's a structured 4-month DSA course curriculum grouping all your problems by pattern, data structure, and algorithmic similarity — ordered from foundational to advanced:

---

# 4-Month DSA Course Curriculum

---

## MONTH 1 — Foundations: Arrays, Strings, Hashing (Weeks 1–4)

---

### Week 1 — Sorting Algorithms & Basic Array Operations
**Pattern:** Comparison/Non-comparison sorting, basic array manipulation

| # | Problem |
| 22 | REMOVE EVERY KTH NODE |
| 23 | REMOVE LINKED LIST ELEMENTS |
| 24 | FIND NK-TH NODE |
| 25 | CHECK IF CIRCULAR LINKED LIST |
| 26 | MOVE THE LAST ELEMENT TO FRONT |
| 27 | SEGREGATE NODE OF LINKEDLIST |
| 28 | SEGREGATE EVEN AND ODD NODES IN LINKEDLIST |
| 29 | SORT LIST |
| 30 | SORT K SORTED DOUBLY LINKED LIST |
| 31 | SORT BITONIC DOUBLY LINKEDLIST |
| 32 | SPLIT CIRCULAR LINKEDLIST IN TWO HALVES |

---

### Week 6 — Linked Lists: Advanced Operations
**Pattern:** Multi-list operations, arithmetic on lists, complex pointer restructuring

| # | Problem |
|---|---------|
| 1 | ADD TWO NUMBERS |
| 2 | MULTIPLY TWO LINKEDLIST |
| 3 | SUBTRACT TWO LINKEDLIST |
| 4 | COPY LIST FROM RANDOM POINTER |
| 5 | FLATTEN MULTILEVEL LINKEDLIST |
| 6 | REORDER LIST |
| 7 | INTERSECTION OF TWO SORTED ARRAYS |
| 8 | FIND A TRIPLET FROM THREE LINKED LISTS WITH SUM EQUAL TO A GIVEN NUMBER |
| 9 | LINKED LIST COMPONENTS |
| 10 | POLYNOMIAL ADDITION |
| 11 | CONNECT LEAVES DOUBLY LINKEDLIST |
| 12 | CONVERT BINARY SEARCH TREE TO DOUBLY LINKED LIST |
| 13 | CONVERT SORTED DOUBLY LINKED LIST TO BINARY SEARCH TREE |
| 14 | DOUBLE PAIR ARRAY |
| 15 | JOSEPHUS CIRCLE |

---

### Week 7 — Stacks: Classic Patterns
**Pattern:** Monotonic stack, expression evaluation, parentheses problems

| # | Problem |
|---|---------|
| 1 | IMPLEMENT STACK |
| 2 | VALID PARENTHESES |
| 3 | MINIMUM ADD TO MAKE PARENTHESES VALID |
| 4 | MINIMUM REMOVE TO MAKE VALID PARENTHESES |
| 5 | LONGEST VALID PARENTHESES |
| 6 | SCORE OF PARENTHESES |
| 7 | REMOVE INVALID PARENTHESIS |
| 8 | MININUM INSERTIONS TO BALANCE A PARENTHESES STRING |
| 9 | COUNT THE REVERSALS |
| 10 | EVALUATE REVERSE POLISH NOTATION |
| 11 | BASIC CALCULATOR |
| 12 | EXPRESSION CONVERSION |
| 13 | ARITHMETIC EXPRESSION |
| 14 | NEXT GREATER ELEMENT |
| 15 | NEAREST GREATER SMALLER |
| 16 | STOCK SPAN PROBLEM |
| 17 | DAILY TEMPERATURES |
| 18 | LARGEST RECTANGLE IN HISTOGRAM |
| 19 | MAXIMAL RECTANGLE |
| 20 | MAXIMAL SQUARE |
| 21 | TRAPPING RAIN WATER (stack approach) |
| 22 | MIN STACK |
| 23 | DESIGN A STACK WITH INCREMENT OPERATION |
| 24 | TWO STACK IN AN ARRAY |
| 25 | STACK WITH MIDDLE OPERATIONS |
| 26 | MAXIMUM FREQUENCY STACK |
| 27 | VALIDATE STACK SEQUENCES |
| 28 | AESTROID COLLISION |
| 29 | SIMPLIFY PATH |
| 30 | DECODE STRING |
| 31 | REMOVE K DIGITS |
| 32 | REMOVE DUPLICATE LETTERS |
| 33 | EXCLUSIVE TIME OF FUNCTIONS |
| 34 | VERIFY PREORDER SERIALIZATION |
| 35 | REVERSE SUBSTRINGS BETWEEN EACH PAIR OF PARENTHESES |
| 36 | PRINT THE BRACKET NUMBER |
| 37 | BACKSPACE STRING COMPARE (stack approach) |
| 38 | MAX CHUNKS TO MAKE SORTED |
| 39 | NUMBER OF VALID SUBARRAYS |
| 40 | CHECK IF WORD IS VALID AFTER SUBSTITUTIONS |

---

### Week 8 — Queues, Deques & Hash-Based Structures
**Pattern:** BFS-adjacent queue problems, frequency maps, O(1) data structures

| # | Problem |
|---|---------|
| 1 | IMPLEMENT QUEUE |
| 2 | GENERATE BINARY NUMBER BETWEEN 1 TO N |
| 3 | REVERSE FIRST K ELEMENTS OF A QUEUE |
| 4 | INTERLEAVE FIRST HALF OF QUEUE WITH SECOND HALF |
| 5 | IMPLEMENT HASHMAP |
| 6 | SINGLE NUMBER |
| 7 | MAJORITY ELEMENT |
| 8 | JEWELS AND STONES |
| 9 | COUNT INVERSION |
| 10 | LONGEST CONSECUTIVE SEQUENCE |
| 11 | GROUP SHIFTED STRINGS |
| 12 | TOP K FREQUENT ELEMENTS |
| 13 | TOP K FREQUENT WORDS |
| 14 | SORT CHARACTERS BY FREQUENCY |
| 15 | INSERT DELETE GETRANDOM O(1) |
| 16 | LRU CACHE |
| 17 | LFU CACHE |
| 18 | LOGGER RATE LIMITER |
| 19 | NUMBER OF RECENT CALLS |
| 20 | MOVING AVERAGE FROM DATA STREAM |
| 21 | TIME BASED KEY VALUE STORE |
| 22 | MAXIMUM REPEATING NUMBER |
| 23 | FIND REPEATING, MISSING AND DUPLICATE NUMBER |
| 24 | FIND PAIRS WITH A GIVEN SUM |
| 25 | FIND COMMON ELEMENTS IN THREE SORTED ARRAYS |
| 26 | COMMON ELEMENTS IN ALL ROWS OF A GIVEN MATRIX |
| 27 | SUBDOMAIN VISIT COUNT |
| 28 | BULLS AND COWS |
| 29 | FIND THE DIFFERENCE |
| 30 | RABBITS IN FOREST |

---

### Week 9 — Heaps & Priority Queues
**Pattern:** K-th element, merge K sorted, scheduling, two-heap trick

| # | Problem |
|---|---------|
| 1 | IMPLEMENT HEAP |
| 2 | KTH LARGEST ELEMENT IN AN ARRAY |
| 3 | KTH LARGEST ELEMENT IN A STREAM |
| 4 | K CLOSEST POINTS TO ORIGIN |
| 5 | K CLOSEST ELEMENTS |
| 6 | FIND K CLOSEST ELEMENTS |
| 7 | FIND K PAIRS WITH SMALLEST SUMS |
| 8 | KTH SMALLEST PRIME FRACTION |
| 9 | SMALLEST RANGE COVERING ELEMENTS FROM K LISTS |
| 10 | MERGE K SORTED ARRAYS |
| 11 | MERGE K SORTED LIST |
| 12 | FIND MEDIAN FROM DATA STREAM |
| 13 | LAST STONE WEIGHT |
| 14 | MINIMUM COST OF ROPES |
| 15 | TASK SCHEDULER |
| 16 | REORGANIZE STRING |
| 17 | REARRANGE A STRING SO THAT ALL SAME CHARACTERS BECOME D DISTANT AWAY |
| 18 | MINIMUM COST TO HIRE K WORKERS |
| 19 | MINIMUM DIFFERNENCE AMONG K |
| 20 | Chocolate Distribution |
| 21 | MINIMUM NUMBER OF REFUELING STOPS |
| 22 | EMPLOYEE FREE TIME |
| 23 | Huffman Decoding |

---

## MONTH 3 — Trees & Graphs (Weeks 10–14)

---

### Week 10 — Binary Trees: Traversals, Views & Structure
**Pattern:** DFS/BFS on trees, level order, views, structural checks

| # | Problem |
|---|---------|
| 1 | IMPLEMENT BINARY TREE |
| 2 | BINARY TREE INORDER TRAVERSAL |
| 3 | BINARY TREE PREORDER TRAVERSAL |
| 4 | BINARY TREE POSTORDER TRAVERSAL |
| 5 | BINARY TREE LEVEL ORDER TRAVERSAL |
| 6 | BINARY TREE ZIGZAG LEVEL ORDER TRAVERSAL |
| 7 | BINARY TREE LEFT SIDE VIEW |
| 8 | BINARY TREE RIGHT SIDE VIEW |
| 9 | BINARY TREE TOP VIEW |
| 10 | BINARY TREE BOTTOM VIEW |
| 11 | BOUNDARY TRAVERSAL OF BINARY TREE |
| 12 | DIAGONAL TRAVERSAL OF BINARY TREE |
| 13 | VERTICAL ORDER TRAVERSAL OF A BINARY TREE |
| 14 | SPECIFIC LEVEL ORDER TRAVERSAL |
| 15 | N-ARY TREE PREORDER TRAVERSAL |
| 16 | N-ARY TREE POSTORDER TRAVERSAL |
| 17 | N-ARY TREE LEVEL ORDER TRAVERSAL |
| 18 | INVERT BINARY TREE |
| 19 | SYMMETRIC TREE |
| 20 | SAME TREE |
| 21 | BALANCED BINARY TREE |
| 22 | DIAMETER OF BINARY TREE |
| 23 | MAXIMUM WIDTH OF BINARY TREE |
| 24 | COUNT LEAVES IN BINARY TREE |
| 25 | CHECK COMPLETENESS OF BINARY TREE |
| 26 | CHECK IF ALL LEAVES ARE AT SAME LEVEL |
| 27 | CHECK IF BINARY TREE IS HEAP |
| 28 | CHECK IF TREE IS ISOMORPHIC |
| 29 | LEAF SIMILAR TREES |
| 30 | SUM OF LEFT LEAVES |

---

### Week 11 — Binary Trees: Paths, Ancestors & Modifications
**Pattern:** Path problems, LCA, tree construction, subtree operations

| # | Problem |
|---|---------|
| 1 | PATH SUM |
| 2 | BINARY TREE PATHS |
| 3 | BINARY TREE MAXIMUM PATH SUM |
| 4 | SUM ROOT TO LEAF NUMBERS |
| 5 | SUM OF ROOT TO LEAF BINARY NUMBERS |
| 6 | LOWEST COMMON ANCESTOR |
| 7 | ANCESTORS IN BINARY TREE |
| 8 | FIND DISTANCE BETWEEN TWO NODES OF A BINARY TREE |
| 9 | ALL NODES DISTANCE K IN BINARY TREE |
| 10 | COUSINS IN BINARY TREE |
| 11 | BINARY TREE TILT |
| 12 | BINARY TREE CAMERAS |
| 13 | BINARY TREE PRUNING |
| 14 | DELETE LEAVES WITH A GIVEN VALUE |
| 15 | MAXIMUM DIFFERENCE BETWEEN NODE AND ANCESTOR |
| 16 | BINARY TREE LONGEST CONSECUTIVE SEQUENCE |
| 17 | LONGEST ZIGZAG PATH IN A BINARY TREE |
| 18 | BINARY TREE COLORING GAME |
| 19 | CLONE A BINARY TREE |
| 20 | SERIALIZE AND DESERIALIZE |
| 21 | BINARY TREE TO LINKED LIST |
| 22 | CONSTRUCT BINARY TREE |
| 23 | CONSTRUCT BINARY TREE FROM STRING |
| 24 | CONSTRUCT BINARY TREE FROM PARENT ARRAY |
| 25 | CONSTRUCT EXPRESSION TREE |
| 26 | ALL POSSIBLE FULL BINARY TREES |
| 27 | POPULATING NEXT RIGHT POINTER IN EACH NODE |
| 28 | POPULATE INORDER SUCCESSOR FOR ALL NODES |
| 29 | DISTRIBUTE COINS IN BINARY TREE |
| 30 | FLIP EQUIVALENT BINARY TREES |
| 31 | MERGE TWO BINARY TREES |
| 32 | SUBTREE OF ANOTHER TREE |
| 33 | FIND DUPLICATE SUBTREES |
| 34 | DUPLICATE SUBTREE IN BINARY TREE |
| 35 | SUM TREE |
| 36 | CONVERT A GIVEN TREE TO SUM TREE |
| 37 | CHANGE EVERY TO SUM OF ALL NODES OF LEFT SUBTREE |
| 38 | DOUBLE TREE |
| 39 | LEFT CLONED TREE |
| 40 | MAXIMUM BINARY TREE |
| 41 | BURNING TREE |
| 42 | SECOND MINIMUM NODE IN A BINARY TREE |
| 43 | DEEPEST LEFT LEAF NODE IN A BINARY TREE |
| 44 | NODE TO ROOT PATH |
| 45 | PRINT NODES HAVING K LEAVES |
| 46 | COUNT UNIVALUE SUBTREES |
| 47 | COUNT SUBTREES SUM GIVEN VALUE X |
| 48 | PRINT ALL NODES THAT DO NOT HAVE SIBLING |
| 49 | CONSTRUCT ANCESTOR MATRIX FROM A GIVEN BINARY TREE |
| 50 | FIND HEIGHT BINARY TREE REPRESENTED PARENT ARRAY |

---

### Week 12 — Binary Search Trees (BST)
**Pattern:** BST properties (ordered traversal = sorted), search/insert/delete, BST construction

| # | Problem |
|---|---------|
| 1 | IMPLEMENT BST |
| 2 | VALIDATE BINARY SEARCH TREE |
| 3 | BINARY TREE TO BINARY SEARCH TREE CONVERSION |
| 4 | CONSTRUCT BINARY SEARCH TREE |
| 5 | Convert Sorted Array to Binary Search Tree |
| 6 | CONVERT SORTED LIST TO BINARY SEARCH TREE |
| 7 | INORDER SUCCESSOR IN BST |
| 8 | CLOSEST BINARY SEARCH TREE VALUE |
| 9 | FIND THE CLOSEST ELEMENT IN BST |
| 10 | KTH ELEMENT IN A BST |
| 11 | FIND MEDIAN IN BST |
| 12 | FIND MODE IN BINARY SEARCH TREE |
| 13 | RANGE SUM OF BST |
| 14 | COUNT BST NODES THAT LIE IN GIVEN RANGE |
| 15 | COUNT BST SUBTREES THAT LIE IN GIVEN RANGE |
| 16 | LARGEST BST |
| 17 | RECOVER BINARY SEARCH TREE |
| 18 | CONVERT BST TO GREATER TREE |
| 19 | ADD GREATER VALUES EVERY NODE GIVEN BST |
| 20 | MERGE TWO BALANCED BINARY SEARCH TREE |
| 21 | TRIM A BINARY SEARCH TREE |
| 22 | REMOVE BST KEYS OUTSIDE THE GIVEN RANGE |
| 23 | CHECK WHETHER BST CONTAINS DEAD END OR NOT |
| 24 | SUM OF K SMALLEST ELEMENTS IN BST |
| 25 | TRIPLET WITH A GIVEN SUM IN BST |
| 26 | MINIMUM DISTANCE BETWEEN BST NODES |
| 27 | LEAF NODES FROM PREORDER OF A BINARY SEARCH TREE |
| 28 | BINARY SERACH TREE ITERATOR |
| 29 | INCREASING ORDER SEARCH TREE |
| 30 | UNIQUE BINARY SEARCH TREES |
| 31 | OPTIMAL BINARY SEARCH TREE |
| 32 | FIND NEXT RIGHT NODE OF A GIVEN KEY |
| 33 | PRINT COMMON NODES PATH ROOT COMMON ANCESTORS |

---

### Week 13 — Graphs: BFS, DFS & Grid Traversal
**Pattern:** Graph traversal, connected components, cycle detection, topological sort, grid BFS/DFS

| # | Problem |
|---|---------|
| 1 | IMPLEMENT GRAPH |
| 2 | BREADTH FIRST SEARCH |
| 3 | DEPTH FIRST SEARCH |
| 4 | HAS PATH |
| 5 | Is Graph Connected |
| 6 | Get Connected Components Of A Graph |
| 7 | NUMBER OF ISLANDS |
| 8 | FLOOD FILL |
| 9 | MAX AREA OF ISLAND |
| 10 | ISLAND PERIMETER |
| 11 | UNIT AREA OF LARGEST REGION OF 1S |
| 12 | NUMBER OF DISTINCT ISLANDS |
| 13 | CLONE GRAPH |
| 14 | IS GRAPH BIPARTITE |
| 15 | DETECT CYCLE IN UNDIRECTED GRAPH |
| 16 | DETECT CYCLE IN DIRECTED GRAPH |
| 17 | TOPOLOGICAL SORT |
| 18 | kahn_algo (Kahn's BFS topological sort) |
| 19 | COURSE SCHEDULE |
| 20 | ALL PATHS FROM SOURCE TO TARGET |
| 21 | Count All Possible Paths Between Two Vertices |
| 22 | FIND ITINERARY FROM TICKETS |
| 23 | Reconstruct Itinerary |
| 24 | KEYS AND ROOMS |
| 25 | THE CELEBRITY PROBLEM |
| 26 | FIND THE TOWN JUDGE |
| 27 | EMPLOYEE IMPORTANCE |
| 28 | NUMBER OF EMPLOYEES UNDER EVERY MANAGER |
| 29 | 01 MATRIX (multi-source BFS) |
| 30 | 01-BFS |
| 31 | ROTTEN ORANGES |
| 32 | WALLS AND GATES |
| 33 | SHORTEST PATH IN BINARY MATRIX |
| 34 | WORD LADDER |
| 35 | SNAKES AND LADDERS |
| 36 | SURROUNDED REGIONS |
| 37 | NUMBER OF ENCLAVES |
| 38 | SPREAD OF INFECTION |
| 39 | AS FAR AS LAND POSSIBLE |
| 40 | MOTHER VERTEX IN A GRAPH |
| 41 | SUM OF DEPENDENCIES IN A GRAPH |
| 42 | NUMBER OF TRAINGLES |
| 43 | Given A Sorted Dictionary Of An Alien Language, Find Order Of Characters |
| 44 | Longest Path in a Directed Acyclic Graph |
| 45 | WORD SEARCH |
| 46 | FIND PATH FROM CORNER TO MIDDLE CELL |

---

### Week 14 — Graphs: Shortest Paths, MST & Advanced
**Pattern:** Dijkstra, Bellman-Ford, Floyd-Warshall, Prim's, Kruskal's, SCC

| # | Problem |
|---|---------|
| 1 | DIJKSTRA ALGORITHM |
| 2 | BELLMAN FORD |
| 3 | FLOYD WARSHALL |
| 4 | DETECT NEGATIVE CYCLE IN DIRECTED GRAPH |
| 5 | CHEAPEST FLIGHT WITHIN K STOPS |
| 6 | SWIM IN RISING WATER |
| 7 | SHORTEST BRIDGE |
| 8 | SHORTEST DISTANCE FROM ALL BUILDINGS |
| 9 | BEST MEETING POINT |
| 10 | PRIMS ALGORITHM |
| 11 | KRUSKAL ALGORITHM |
| 12 | Connecting cities with min cost |
| 13 | Minimum cost to connect all cities |
| 14 | KOSARAJU ALGORITHM (SCC) |
| 15 | ArticulationPB (Articulation Points & Bridges) |
| 16 | Critical Connections in a Network |
| 17 | Transitive closure of a Graph |
| 18 | SUM OF DISTANCE IN TREES |
| 19 | WATER CONNECTION PROBLEM |
| 20 | MINIMIZE CASH FLOW |
| 21 | Bus Routes |
| 22 | Heaters |
| 23 | EMPLOYEE FREE TIME (graph + interval) |
| 24 | HAMILTONIAN PATH AND CYCLE |
| 25 | Two Clique Problem |
| 26 | Vertex Cover Problem |
| 27 | Travelling Salesman Problem |
| 28 | KNIGHT ON CHESS BOARD (BFS) |
| 29 | KNIGHT DIALER |
| 30 | FIND SHORTEST SAFE ROUTE IN A PATH WITH LANDMINES |

---

## MONTH 4 — Advanced Algorithms: DP, Backtracking, Greedy (Weeks 15–18)

---

### Week 15 — Backtracking
**Pattern:** Explore all choices, prune invalid states, permutations/subsets/combinations

| # | Problem |
|---|---------|
| 1 | PERMUTATIONS |
| 2 | PERMUTATION WITH SPACES |
| 3 | PERMUTATIONS WORDS |
| 4 | LETTER CASE PERMUTATION |
| 5 | SUBSETS |
| 6 | COMBINATIONS |
| 7 | COMBINATION SUM |
| 8 | GENERATE PARENTHESES |
| 9 | LETTER COMBINATIONS OF A PHONE NUMBER |
| 10 | LETTER TILE POSSIBILITIES |
| 11 | ITERATOR FOR COMBINATIONS |
| 12 | ALL PALINDROMIC PERMUTATIONS |
| 13 | PALINDROME PARTITIONING |
| 14 | PALINDROME PERMUTATION |
| 15 | RESTORE IP ADDRESSES |
| 16 | GENERATE BINARY STRINGS |
| 17 | GENERATE ALL POSSIBLE SORTED ARRAYS |
| 18 | PRINT ALL SENTENCES POSSIBLE |
| 19 | PRINT ENCODINGS |
| 20 | SUBSEQUENCES OF STRING |
| 21 | NUMBER WITH SAME CONSECUTIVE DIFFERENCES |
| 22 | INCREASING SUBSEQUENCES |
| 23 | ABBREVIATION USING BACKTRACKING |
| 24 | N QUEENS |
| 25 | QUEENS COMBINATIONS AND PERMUTATIONS |
| 26 | SUDOKU |
| 27 | M COLORING PROBLEM |
| 28 | RAT IN MAZE |
| 29 | MAZE PATH |
| 30 | KNIGHT TOUR |
| 31 | CRYPTARITHMETIC |
| 32 | TUG OF WAR |
| 33 | K SUBSETS WITH EQUAL SUM |
| 34 | PARTITION INTO K SUBSETS |
| 35 | WORD SEARCH (DFS + Backtracking) |
| 36 | ALL POSSIBLE FULL BINARY TREES |

---

### Week 16 — Dynamic Programming: 1D & Classic Linear
**Pattern:** Overlapping subproblems, memoization/tabulation on 1D state

| # | Problem |
|---|---------|
| 1 | FIBONACCI NUMBER |
| 2 | CLIMB STAIRS |
| 3 | STAIR PATHS |
| 4 | HOUSE ROBBER |
| 5 | MAXIMUM SUM NON ADJACENT ELEMENTS |
| 6 | TILING |
| 7 | FRIENDS PAIRING |
| 8 | N NIGHTS |
| 9 | DICE COMBINATIONS |
| 10 | COIN CHANGE |
| 11 | MINIMUM COST FOR TICKETS |
| 12 | DECODE WAYS |
| 13 | WORD BREAK |
| 14 | JUMP GAME |
| 15 | PERFECT SQUARES |
| 16 | ARITHMETIC SLICES |
| 17 | WIGGLE SUBSEQUENCE |
| 18 | MINIMUM NUMBER OF STEPS TO REDUCE N |
